id,name
1,Sharbat
2,Oral-solution
3,Capsul
4,Serum
5,Medical-equipment
6,Tablet
7,Injection
8,Vaginal-tablet
9,Cream
10,Ampoule
11,Soft-gel
12,Eye-drop
13,Spray
14,Lotion
15,Sterile-eye-drop
16,Solution
17,Vial
18,Ointment
19,Sasha
20,Cartridge
21,Drop
22,Powder
23,Topical-ointment
24,Oral-spray
25,Gel
26,Nasal-spray
27,Soft-capsule
28,Oral-drops
29,Device
30,Suspension
31,Other
32,Caplet
33,Topical-cream
34,Effervescent-tablet
35,Chewable-tablet
36,Lozenge
37,Needle
38,Vaginal-cream
39,ٍEye-ointment
40,Topical-gel
41,Syringe
42,Oral-suspension
43,Plaster
44,Liquid
45,Injectable-suspension
46,Pen
47,Inhealer
48,Vaginal-suppositories
49,Jelly-capsule
50,Anal-ointment
51,Suspension-powder
52,Herbal-drops
53,Ear-drop
54,Mouthwash
55,Rectal-suppository
56,Gauze
57,Sticky
58,Bond
59,Oral-ampoule
60,Infusion
61,Oil
62,Lucion-shampo
63,Vaccine
64,Sterile-ear-drops
65,Oral-soluble-powder
66,Nose-drops
67,Suppositories
68,Topical-solution
69,Oral-capsule
70,Vaginal-gel
71,Oral-Tablet
72,Aerosol-device
73,Pearl
74,Lucion
75,Finger-glue
76,Topical-lotion
77,Inhalation
78,Injection-vial
79,Granule
80,Soap
81,Coated-tablet
83,Construction
84,Lined-tablet
85,Inhalation-capsule
86,Pad
87,Angion-catheter-syringe
88,Perfume
89,Babyshampoo
90,Shampoo
91,Glasses
92,Toothpaste
93,Milkman
94,Clear-glycerin-soap
95,Cologne
96,Feeding-bottle
97,Knotted-shorts
98,Milk-powder
99,Sunscreen-cream
100,Cosmetic
101,Tissue-paper
102,Teeth-brush
103,Foodstuffs
104,Clean-ears
105,Baby-powder
106,Biscuit
107,Korean
108,Hair-color
109,Crown-teeth
110,Air-freshener
111,Softener
112,Cake
113,Anti-dandruff-shampoo
114,Body-shampoo
115,Washing-liquid
116,Sweets
117,Baby-food
118,Sanitary-napkin
119,Hair-remover-cream
145,Vaseline
146,Short-base
120,Big-diaper
121,Face-wash
122,Chewing-gum
123,Baby-soap
124,Lips-oil
125,Diaper
126,Wipes
127,Hair-oil
128,Beverages
129,Dental-floss
130,Chocolate
131,Mascara
132,Sugar
133,Strep
134,Gillette-razor
135,Condom
136,Blade
137,Acetone
138,Wax
139,Shaving-cream
140,Sweetener-tablets
141,Tissue
142,Eye-Cream
143,Face-washer
144,Gloves
147,Pacifier
148,Oral-dental-products
149,Dietary-salt
150,Baby-toothpaste
151,Book
152,Shower-gel
153,Body-wash
154,Hair-Wax
155,Sniffer
156,Medical-supplies
157,Body-spray
158,Foam
159,Aerator
160,Small-diaper
161,Humidifier
162,Soap-cream
163,Mask
164,Baby-stuff
165,Hair-brush
166,Jam
167,Liquid-soap
168,Gelatin
169,Herbal-Shampoo
170,Toilet-soap
171,Small-pacifier
172,Softening-shampoo
173,Roll
174,Bran-shampoo
175,Tooth-powder
176,Big-pacifier
177,Draw
178,Corset-Slimming
