id,brand_name,generic_name,no_pocket,no_box,kind_id,ml,unit_id,weight,location,country_id,company,barcode,price,existence,minmum_existence,maximum_existence,must_advised,dividing_rules,cautions,usages,description,image,user
1,ABROQUINE,CHLOROQUINE,1,1,1,60,,,,,,,60,,0,0,,,,,,,1
2,SUPER POWER,عسل,1,1,2,1 PCS,,,,,,,35,,100,9999,,,,,,,1
3,URINFEN,,1,1,3,0.4,,,M63,,,,3.5,,100,9999,,,,,,,1
4,CLIN ,OXYTETRACYCLINE,1,1,3,250 MG,,,,,,,0.7,,0,0,,,,,,,1
5,PAN-AMIN G,AMINO ACID,1,1,4,5درصد 500ميليليتر,,,L10,,,,175,,40,100,,,,,,,1
6,SYNMEDOX,DOXYCYCLINE,1,1,3,100,,,,,,,1.9,,100,9999,,,,,,,1
7,DEXON 1/0 SUPABON,polyglycolate,1,1,5,75,,,,,,,55,,100,9999,,,,,,,1
8,OXYBUTYNIN CHLORIDE,,1,1,6,5 ميليگرم,,,M47,1,,,2.4,,100,9999,,,,,,,1
9,ZEROPROST,SAW PALMETTO EXTRACT,1,1,3,320,,,,,,,23.5,,100,9999,,,,,,,1
10,DIMETHICONE,,1,1,6,40 ميليگرم,,,N33,1,,,1,,100,9999,,,,,,,1
11,NYLON 1/0,SUPALON,1,1,5,75,,,,,,,15,,100,9999,,,,,,,1
12,M-KORT,TRIAMCINOLONE,1,1,7,40,,,,,,,24,,100,9999,,,,,,,1
13,ASPIDOL,CLOPIDOGREL,1,1,6,75,,,,,LIFECARE,,2.5,,50,200,,,,,,,1
14,AMARYL 1,GLIMEPIRIDE,1,1,6,1,,,,4,SANOFI,,4.8,,100,9999,,,,,,,1
15,AVI-PECT D,EXPECTORANT D,1,1,1,60,,,N55,,,,30,,0,0,,,,,,,1
16,DOXYCYCLINE,,1,1,3,100,,,F37,1,,,3.5,,0,0,,,,,,,1
17,GRIPE BABY,,1,1,1,150,,,,,,,20,,100,9999,,,,,,,1
18,COLOSTOMY BAG, بسته كامل,1,1,5,0,,,,,,,235,,100,9999,,,,,,,1
19,PRE FLEX,HEALTH BRUST,1,1,3,900,,,,,,,23,,100,9999,,,,,,,1
20,TWINKLE,,1,1,9,15,,,,,AUSTO,,50,,100,9999,,,,,,,1
21,CEROL,Omeprazole,1,1,3,20,,,,,Neon,,4,,100,9999,,,,,,,1
22,NYLON 2/0,SUPALON,1,1,5,75,,,,,monofilament,,50,,10,10,,,,,,,1
23,LEEZOLE-VM,"CLINDAMYCIN , CLOTRIMAZOLE",1,1,8,100+200,,,V29,,,,35,,100,9999,,,,,,,1
24,DEXTOP,DEXLANSOPRAZOLE,1,1,3,30,,,N38,,Searle,,8.9,,100,9999,,,,,,,1
25,DAYLINE,CEFTRIAXONE,1,1,7,1000,,,,,,,185,,0,0,,,,,,,1
26,ANPRA ICI,ALPRAZOLAM,1,1,6,5,,,T1,6,,,4,,100,9999,,,,,,,1
27,EYEPOWER,,1,1,3,5,,,,,,,10,,100,9999,,,,,,,1
28,LANSOPRAZOLE,LANSOPRAZOLE,1,1,3,30ميليگرم,,,F38,1,,,2.4,,100,9999,,,,,,,1
29,VENPRES-AMH,,1,1,6,40+5+12.5,,,F38,,,,7,,100,9999,,,,,,,1
30,OLPEN,OLANZAPINE,1,1,6,10,,,T66,,Anvis,,3,,100,9999,,,,,,,1
31,ESPRAM,ESCITALOPRAM,1,1,6,5,,,,,PHARMATEC,,7.9,,100,9999,,,,,,,1
32,PROKIN,DOMPERIDONE,1,1,6,0,,,,,,,0.5,,100,9999,,,,,,,1
33,EXEF,CEFOTAXIME,1,1,7,250,,,R36,,,,40,,100,9999,,,,,,,1
34,OLPEN,OLANZAPINE,1,1,6,2.5,,,T63,,Anvis,,2.3,,100,9999,,,,,,,1
35,CYPTOVIS PLUS,,1,1,1,200,,,,,,,70,,100,9999,,,,,,,1
36,MEDTRIXON,CEFTRIAXONE,1,1,10,1GR,,,,,,,120,,50,200,,,,,,,1
37,ESOLIFE-D,"ESOMEPRAZOLE , DOMPERIDONE",1,1,3,10,,,,,,,3.6,,50,200,,,,,,,1
38,ECASIL,LINEZOLID,1,1,6,400,,,,,SAMI,,34.2,,5,15,,,,,,,1
39,CETRIGEL-10,CETRIZINE,1,1,11,10 MG,,,,,MARKSANS,,7.5,,5,20,,,,,,,1
40,CETAPRED,"sulfacetamide ,prednisolone ,phenyl mercuric",1,1,12,5,,,W13,,VEGA,,40,,5,10,,,,,,,1
