id,name_english,name_persian,image,description,user
1,Sharbat,,,,1
2,Oral-solution,,,,1
3,Capsul,,,,1
4,Serum,,,,1
5,Medical-equipment,,,,1
6,Tablet,,,,1
7,Injection,,,,1
8,Vaginal-tablet,,,,1
9,Cream,,,,1
10,Ampoule,,,,1
11,Soft-gel,,,,1
12,Eye-drop,,,,1
13,Spray,,,,1
14,Lotion,,,,1
15,Sterile-eye-drop,,,,1
16,Solution,,,,1
17,Vial,,,,1
18,Ointment,,,,1
19,Sasha,,,,1
20,Cartridge,,,,1
21,Drop,,,,1
22,Powder,,,,1
23,Topical-ointment,,,,1
24,Oral-spray,,,,1
25,Gel,,,,1
26,Nasal-spray,,,,1
27,Soft-capsule,,,,1
28,Oral-drops,,,,1
29,Device,,,,1
30,Suspension,,,,1
31,Other,,,,1
32,Caplet,,,,1
33,Topical-cream,,,,1
34,Effervescent-tablet,,,,1
35,Chewable-tablet,,,,1
36,Lozenge,,,,1
37,Needle,,,,1
38,Vaginal-cream,,,,1
39,ٍEye-ointment,,,,1
40,Topical-gel,,,,1
41,Syringe,,,,1
42,Oral-suspension,,,,1
43,Plaster,,,,1
44,Liquid,,,,1
45,Injectable-suspension,,,,1
46,Pen,,,,1
47,Inhealer,,,,1
48,Vaginal-suppositories,,,,1
49,Jelly-capsule,,,,1
50,Anal-ointment,,,,1
51,Suspension-powder,,,,1
52,Herbal-drops,,,,1
53,Ear-drop,,,,1
54,Mouthwash,,,,1
55,Rectal-suppository,,,,1
56,Gauze,,,,1
57,Sticky,,,,1
58,Bond,,,,1
59,Oral-ampoule,,,,1
60,Infusion,,,,1
61,Oil,,,,1
62,Lucion-shampo,,,,1
63,Vaccine,,,,1
64,Sterile-ear-drops,,,,1
65,Oral-soluble-powder,,,,1
66,Nose-drops,,,,1
67,Suppositories,,,,1
68,Topical-solution,,,,1
69,Oral-capsule,,,,1
70,Vaginal-gel,,,,1
71,Oral-Tablet,,,,1
72,Aerosol-device,,,,1
73,Pearl,,,,1
74,Lucion,,,,1
75,Finger-glue,,,,1
76,Topical-lotion,,,,1
77,Inhalation,,,,1
78,Injection-vial,,,,1
79,Granule,,,,1
80,Soap,,,,1
81,Coated-tablet,,,,1
83,Construction,,,,1
84,Lined-tablet,,,,1
85,Inhalation-capsule,,,,1
86,Pad,,,,1
87,Angion-catheter-syringe,,,,1
88,Perfume,,,,1
89,Babyshampoo,,,,1
90,Shampoo,,,,1
91,Glasses,,,,1
92,Toothpaste,,,,1
93,Milkman,,,,1
94,Clear-glycerin-soap,,,,1
95,Cologne,,,,1
96,Feeding-bottle,,,,1
97,Knotted-shorts,,,,1
98,Milk-powder,,,,1
99,Sunscreen-cream,,,,1
100,Cosmetic,,,,1
101,Tissue-paper,,,,1
102,Teeth-brush,,,,1
103,Foodstuffs,,,,1
104,Clean-ears,,,,1
105,Baby-powder,,,,1
106,Biscuit,,,,1
107,Korean,,,,1
108,Hair-color,,,,1
109,Crown-teeth,,,,1
110,Air-freshener,,,,1
111,Softener,,,,1
112,Cake,,,,1
113,Anti-dandruff-shampoo,,,,1
114,Body-shampoo,,,,1
115,Washing-liquid,,,,1
116,Sweets,,,,1
117,Baby-food,,,,1
118,Sanitary-napkin,,,,1
119,Hair-remover-cream,,,,1
145,Vaseline,,,,1
146,Short-base,,,,1
120,Big-diaper,,,,1
121,Face-wash,,,,1
122,Chewing-gum,,,,1
123,Baby-soap,,,,1
124,Lips-oil,,,,1
125,Diaper,,,,1
126,Wipes,,,,1
127,Hair-oil,,,,1
128,Beverages,,,,1
129,Dental-floss,,,,1
130,Chocolate,,,,1
131,Mascara,,,,1
132,Sugar,,,,1
133,Strep,,,,1
134,Gillette-razor,,,,1
135,Condom,,,,1
136,Blade,,,,1
137,Acetone,,,,1
138,Wax,,,,1
139,Shaving-cream,,,,1
140,Sweetener-tablets,,,,1
141,Tissue,,,,1
142,Eye-Cream,,,,1
143,Face-washer,,,,1
144,Gloves,,,,1
147,Pacifier,,,,1
148,Oral-dental-products,,,,1
149,Dietary-salt,,,,1
150,Baby-toothpaste,,,,1
151,Book,,,,1
152,Shower-gel,,,,1
153,Body-wash,,,,1
154,Hair-Wax,,,,1
155,Sniffer,,,,1
156,Medical-supplies,,,,1
157,Body-spray,,,,1
158,Foam,,,,1
159,Aerator,,,,1
160,Small-diaper,,,,1
161,Humidifier,,,,1
162,Soap-cream,,,,1
163,Mask,,,,1
164,Baby-stuff,,,,1
165,Hair-brush,,,,1
166,Jam,,,,1
167,Liquid-soap,,,,1
168,Gelatin,,,,1
169,Herbal-Shampoo,,,,1
170,Toilet-soap,,,,1
171,Small-pacifier,,,,1
172,Softening-shampoo,,,,1
173,Roll,,,,1
174,Bran-shampoo,,,,1
175,Tooth-powder,,,,1
176,Big-pacifier,,,,1
177,Draw,,,,1
178,Corset-Slimming,,,,1
